lead_id,nome_ficticio,municipio,canal_captacao,curso_interesse,faixa_etaria,turno_preferencia,dia_semana_contato,dias_sem_contato,n_tentativas,respondeu_contato,renda_estimada,converteu
1,Brenda Alves,Garcia do Oeste,Tráfego Orgânico,Inglês Adulto,,Noite,Quarta-feira,6,0,1,2073.43,0
2,Sra. Isabelly Câmara,Sousa,Google Ads,Inglês Adulto,18-24,Manhã,Quarta-feira,7,1,0,4724.03,0
3,Cauã Rocha,Melo,Tráfego Orgânico,Inglês Básico,25-34,Tarde,Segunda-feira,6,1,0,4072.79,0
4,Dra. Aurora Pastor,Cavalcanti,Facebook Ads,Inglês Adulto,25-34,Manhã,Domingo,7,3,0,,0
5,Ana Beatriz Alves,Monteiro Grande,Indicação,Inglês Adulto,55+,Noite,Quinta-feira,7,3,0,2925.25,0
6,Henrique da Conceição,Viana do Amparo,Evento Presencial,Inglês Adulto,18-24,Noite,Quarta-feira,4,0,1,2104.67,1
7,Amanda Novais,da Cunha da Prata,Tráfego Orgânico,Inglês Básico,,Tarde,Quinta-feira,12,2,0,5801.57,0
8,Yago Leão,Gonçalves,Tráfego Orgânico,Inglês Intermediário,25-34,Manhã,Segunda-feira,2,1,1,,0
9,Pietro Pastor,Sales,Indicação,Inglês Intermediário,18-24,Manhã,Terça-feira,7,5,1,3878.17,0
10,André Teixeira,Araújo,Google Ads,Inglês Básico,25-34,Noite,Quinta-feira,5,1,0,1492.28,0
11,Otávio Fernandes,da Cunha,Instagram,Inglês Básico,35-44,Tarde,Quinta-feira,7,2,0,2558.36,0
12,Eduardo Cunha,Pires de Brito,Evento Presencial,Inglês Intermediário,25-34,Noite,Sexta-feira,6,0,0,6097.82,1
13,Sr. Caleb Garcia,Souza de Farias,Facebook Ads,Inglês Teens,35-44,Tarde,Quinta-feira,10,5,1,2360.35,0
14,Luiz Henrique Ferreira,Fonseca da Praia,Tráfego Orgânico,Inglês Básico,,Manhã,Quinta-feira,3,1,0,,0
15,Julia Aparecida,Ferreira do Sul,Google Ads,Inglês Teens,35-44,Noite,Sexta-feira,6,2,1,971.13,0
16,Sra. Zoe Campos,Campos da Praia,Instagram,Inglês Adulto,35-44,Tarde,Segunda-feira,12,3,1,2573.06,0
17,Anna Liz Novaes,Oliveira,Google Ads,Inglês Teens,,Manhã,Sexta-feira,5,2,1,3185.21,0
18,Luiz Miguel Oliveira,Vasconcelos,Indicação,Inglês Intermediário,18-24,Noite,Sexta-feira,6,4,0,,0
19,Bernardo Aparecida,Fogaça Alegre,Tráfego Orgânico,Inglês Intermediário,25-34,Manhã,Terça-feira,9,4,1,1840.02,1
20,Heloísa Vargas,Vasconcelos de Sousa,Facebook Ads,Inglês Adulto,55+,Tarde,Terça-feira,6,1,1,5062.24,0
21,Bruno da Conceição,Barros de Garcia,Tráfego Orgânico,Espanhol,35-44,,Terça-feira,10,2,0,,0
22,Mateus da Mota,Martins Grande,Instagram,Inglês Intermediário,,Tarde,Terça-feira,4,2,1,2353.59,0
23,Maria Clara Castro,Porto,Evento Presencial,Inglês Adulto,25-34,Noite,Quinta-feira,4,1,1,2850.02,0
24,Dr. Gustavo Henrique Rios,Leão Verde,Tráfego Orgânico,Inglês Adulto,45-54,Manhã,Segunda-feira,7,2,0,,0
25,Brayan Pereira,Barbosa de Minas,Tráfego Orgânico,Inglês Teens,35-44,Noite,Quinta-feira,8,3,1,1549.52,0
26,Eloá Nascimento,Fernandes,Instagram,Inglês Básico,35-44,Noite,Segunda-feira,11,3,0,2724.97,0
27,Srta. Elisa Martins,Dias,Google Ads,Inglês Adulto,45-54,Noite,Segunda-feira,3,3,1,7061.27,0
28,Júlia Porto,Rezende da Mata,Indicação,Inglês Intermediário,35-44,Noite,Terça-feira,2,2,1,4665.63,1
29,Dra. Hellena Rodrigues,Pereira das Flores,Instagram,Espanhol,35-44,Noite,Terça-feira,10,1,0,3210.9,0
30,Sr. Ian Andrade,Macedo da Praia,Facebook Ads,Inglês Intermediário,18-24,Noite,Domingo,6,5,0,3724.58,0
31,Dr. João Felipe Azevedo,Jesus de Cavalcante,Facebook Ads,Inglês Intermediário,18-24,Tarde,Terça-feira,9,2,0,4817.53,0
32,Levi Cunha,Almeida,Evento Presencial,Francês,55+,Tarde,Terça-feira,6,2,1,5352.63,1
33,Sara Gonçalves,Siqueira,Instagram,Inglês Intermediário,35-44,Noite,Terça-feira,10,1,0,,0
34,Natália Casa Grande,Ribeiro,Instagram,Inglês Básico,25-34,Tarde,Quarta-feira,10,4,1,8140.56,0
35,Davi Miguel da Cruz,Souza de Minas,Google Ads,Inglês Básico,35-44,Noite,Quinta-feira,14,2,0,7219.27,0
36,Dra. Zoe da Luz,Cavalcante,Instagram,Inglês Básico,18-24,Manhã,Sexta-feira,3,5,0,5079.71,0
37,Dra. Mariane Pacheco,Caldeira do Campo,Indicação,Inglês Básico,45-54,Noite,Quarta-feira,5,2,1,2201.49,0
38,Maria Cecília Câmara,Melo,Google Ads,Inglês Intermediário,25-34,Manhã,Quinta-feira,7,1,1,1996.99,0
39,Thomas Monteiro,Alves,Instagram,Inglês Teens,45-54,Noite,Quarta-feira,8,1,0,2924.52,0
40,Benicio Camargo,Moura de Minas,Facebook Ads,Inglês Teens,25-34,Manhã,Sábado,3,0,0,,0
41,Emanuel Vieira,da Luz,Google Ads,Inglês Básico,25-34,Manhã,Quinta-feira,7,3,0,1323.25,0
42,Mariana Peixoto,Barros,Tráfego Orgânico,Inglês Adulto,18-24,Noite,Terça-feira,10,0,0,4594.43,0
43,Matheus Garcia,das Neves de Goiás,Facebook Ads,Inglês Básico,45-54,,Sexta-feira,2,0,0,7105.49,0
44,Nina Moura,Sousa,Instagram,Espanhol,18-24,Noite,Sexta-feira,5,2,1,4805.8,0
45,Yuri Albuquerque,Macedo Grande,Tráfego Orgânico,Inglês Básico,18-24,Noite,Quarta-feira,6,2,0,2413.15,0
46,Bruna Rodrigues,Moura,Tráfego Orgânico,Inglês Adulto,35-44,Tarde,Domingo,6,3,0,2261.08,0
47,Juliana Vargas,Alves,Instagram,Inglês Intermediário,25-34,Noite,Sábado,7,0,0,4127.54,0
48,Manuela Camargo,Ribeiro,Instagram,Inglês Adulto,25-34,Tarde,Terça-feira,7,2,0,3216.99,0
49,Pedro Henrique Castro,Duarte do Amparo,Facebook Ads,Inglês Intermediário,25-34,Tarde,Sexta-feira,3,0,1,,0
50,Agatha Silveira,Nogueira de da Mata,Indicação,Inglês Teens,45-54,Tarde,Quinta-feira,5,2,0,4873.0,0
51,Sra. Sarah Teixeira,Carvalho de Sampaio,Instagram,Inglês Básico,25-34,Manhã,Quinta-feira,12,0,0,6380.86,0
52,Thiago Caldeira,Pastor,Indicação,Espanhol,25-34,Noite,Quinta-feira,10,3,1,1877.79,0
53,Letícia Porto,Pires de Souza,Tráfego Orgânico,Inglês Adulto,25-34,Noite,Sábado,4,0,1,3953.71,0
54,Fernanda Cassiano,Moura da Prata,Facebook Ads,Inglês Teens,25-34,Manhã,Quinta-feira,12,4,1,2865.81,0
55,Sr. Vitor Hugo Vasconcelos,Ferreira do Amparo,Facebook Ads,Inglês Teens,25-34,Noite,Quinta-feira,6,2,1,3315.19,0
56,Agatha Peixoto,Borges,Tráfego Orgânico,Francês,18-24,Tarde,Segunda-feira,4,1,1,5630.44,0
57,Dr. Antony Camargo,das Neves de Fonseca,Google Ads,Inglês Básico,18-24,Manhã,Quarta-feira,5,2,1,5977.38,1
58,Dr. Isaque Araújo,da Luz Grande,Google Ads,Inglês Básico,25-34,Noite,Sábado,11,6,1,7552.71,0
59,Bruno Barros,Albuquerque do Sul,Indicação,Inglês Básico,45-54,,Sexta-feira,3,0,0,4423.09,0
60,Sra. Ana Lívia Teixeira,Ferreira,Indicação,Inglês Básico,18-24,Manhã,Segunda-feira,3,3,1,3294.5,1
61,Carolina Cardoso,Melo da Prata,Facebook Ads,Inglês Adulto,25-34,Noite,Sábado,9,2,1,3045.54,0
62,Olívia Novaes,Sales,Google Ads,Francês,45-54,Manhã,Sexta-feira,6,1,1,1348.03,1
63,João Moura,Sá de Mendes,Google Ads,Francês,45-54,Manhã,Quinta-feira,9,3,0,7312.73,0
64,Mariana Cunha,Albuquerque das Pedras,Tráfego Orgânico,Inglês Adulto,35-44,Noite,Segunda-feira,9,1,1,2932.1,1
65,Gabriela Silva,Peixoto de Goiás,Facebook Ads,Inglês Adulto,25-34,Manhã,Quinta-feira,16,1,0,4622.83,0
66,Murilo Rios,Novaes,Google Ads,Espanhol,25-34,Noite,Segunda-feira,5,4,1,5084.57,0
67,Maria Fernanda Macedo,Correia das Pedras,Google Ads,Espanhol,25-34,Noite,Terça-feira,7,0,0,1764.45,0
68,Milena Campos,Gonçalves de Goiás,Instagram,Inglês Básico,18-24,Manhã,Quinta-feira,13,6,0,2106.28,0
69,Henry Gabriel Azevedo,Silva,Indicação,Inglês Adulto,25-34,Tarde,Sábado,10,0,0,8195.82,0
70,Sr. Yuri da Conceição,Garcia de Goiás,Google Ads,Inglês Teens,35-44,Manhã,Quarta-feira,5,4,0,4106.22,0
71,Hellena Abreu,Barros das Pedras,Instagram,Inglês Intermediário,25-34,,Sábado,3,1,0,2543.25,1
72,Bento da Conceição,Moreira,Google Ads,Inglês Intermediário,35-44,Manhã,Sábado,11,1,0,3265.04,0
73,Arthur Gabriel Farias,da Paz da Prata,Tráfego Orgânico,Francês,25-34,Noite,Segunda-feira,8,2,1,6361.05,0
74,Théo da Costa,Jesus do Oeste,Instagram,Francês,25-34,Manhã,Terça-feira,3,1,1,5851.14,0
75,Ryan Cunha,Cirino,Indicação,Espanhol,35-44,Noite,Sexta-feira,4,3,1,,0
76,Caroline Silveira,da Rocha,Instagram,Inglês Teens,,Manhã,Sexta-feira,5,0,0,8598.77,0
77,Olívia da Cruz,Porto,Instagram,Inglês Básico,25-34,,Quarta-feira,3,0,1,5954.48,0
78,Maria Luísa Correia,Pinto de Machado,Facebook Ads,Inglês Intermediário,35-44,Tarde,Quinta-feira,6,3,1,3218.46,0
79,Calebe Ribeiro,Sampaio do Amparo,Google Ads,Inglês Adulto,25-34,,Quinta-feira,6,3,0,1817.23,0
80,Maria Lima,Duarte,Tráfego Orgânico,Inglês Adulto,18-24,Noite,Sexta-feira,8,3,0,6249.29,0
81,Nina Siqueira,Cassiano,Facebook Ads,Inglês Adulto,35-44,,Sexta-feira,7,1,0,4548.5,0
82,Carlos Eduardo Araújo,Nascimento,Google Ads,Inglês Adulto,18-24,Manhã,Segunda-feira,5,0,0,1569.84,0
83,Maitê Caldeira,Cirino,Tráfego Orgânico,Inglês Intermediário,25-34,Tarde,Segunda-feira,7,2,0,3080.59,0
84,Gael Correia,da Paz,Instagram,Inglês Teens,25-34,Tarde,Segunda-feira,6,0,0,19534.03,1
85,Melissa Carvalho,Cardoso dos Dourados,Indicação,Inglês Intermediário,18-24,,Domingo,8,2,0,3531.91,0
86,Emilly da Mota,da Conceição,Indicação,Inglês Intermediário,18-24,Noite,Sábado,4,3,0,2327.23,0
87,Isadora Barbosa,Cassiano,Facebook Ads,Inglês Básico,25-34,Noite,Sexta-feira,6,1,0,2009.91,1
88,Beatriz Aragão,Monteiro,Google Ads,Inglês Básico,55+,Manhã,Segunda-feira,10,5,1,9275.88,0
89,Ágatha Albuquerque,Fernandes,Instagram,Espanhol,35-44,Tarde,Quinta-feira,6,2,0,5579.12,0
90,Isaac Cavalcante,das Neves do Amparo,Google Ads,Inglês Intermediário,25-34,Noite,Terça-feira,6,1,0,,0
91,Raquel Mendes,Martins do Norte,Instagram,Inglês Básico,18-24,Tarde,Quarta-feira,5,4,1,4011.9,0
92,Murilo Araújo,Barros Grande,Facebook Ads,Inglês Teens,,Noite,Terça-feira,10,1,0,6975.99,0
93,Mateus Abreu,da Mata,Google Ads,Inglês Adulto,18-24,Manhã,Sexta-feira,7,1,0,2195.01,0
94,Julia Viana,Barbosa da Prata,Instagram,Inglês Básico,25-34,Tarde,Segunda-feira,7,0,0,3827.41,0
95,Laura Lima,Cirino de Correia,Instagram,Inglês Intermediário,35-44,Noite,Quinta-feira,9,1,0,4098.59,0
